Date,Open,High,Low,Close*,AdjClose**,Volume
2018-07-23,2799.17,2848.03,2795.14,2818.82,2818.82,16947010000
2018-07-16,2797.36,2816.76,2789.24,2801.83,2801.83,15449650000
2018-07-09,2775.62,2804.53,2770.73,2801.31,2801.31,14514320000
2018-07-02,2704.95,2764.41,2698.95,2759.82,2759.82,10493320000
2018-06-25,2742.94,2746.09,2691.99,2718.37,2718.37,17980020000
2018-06-18,2765.79,2774.99,2743.19,2754.88,2754.88,19026830000
2018-06-11,2780.18,2791.47,2761.73,2779.66,2779.66,19368250000
2018-06-04,2741.67,2779.90,2739.51,2779.03,2779.03,17380480000
2018-05-28,2705.11,2736.93,2676.81,2734.62,2734.62,15217440000
2018-05-21,2735.39,2742.24,2707.38,2721.33,2721.33,15963780000
2018-05-14,2738.47,2742.10,2701.91,2712.97,2712.97,16310100000
2018-05-07,2680.34,2732.86,2655.20,2727.72,2727.72,17060780000
2018-04-30,2682.51,2682.87,2594.62,2663.42,2663.42,18483840000
2018-04-23,2675.40,2683.55,2612.67,2669.91,2669.91,17108410000
2018-04-16,2670.10,2717.49,2660.61,2670.14,2670.14,16375430000
2018-04-09,2617.18,2680.26,2610.79,2656.30,2656.30,15609880000
2018-04-02,2633.45,2672.08,2553.80,2604.47,2604.47,16820340000
2018-03-26,2619.35,2674.78,2593.06,2640.87,2640.87,14647940000
2018-03-19,2741.38,2741.38,2585.89,2588.26,2588.26,17533550000
2018-03-12,2790.54,2801.90,2741.47,2752.01,2752.01,18750700000
2018-03-05,2681.06,2786.57,2675.75,2786.57,2786.57,17051190000
2018-02-26,2757.37,2789.15,2647.32,2691.25,2691.25,19786810000
2018-02-19,2722.99,2747.76,2697.77,2747.30,2747.30,14297470000
2018-02-12,2636.75,2754.42,2622.45,2732.22,2732.22,18854770000
2018-02-05,2741.06,2763.39,2532.69,2619.55,2619.55,26787200000
2018-01-29,2867.23,2870.62,2759.97,2762.13,2762.13,20065340000
2018-01-22,2809.16,2872.87,2808.12,2872.87,2872.87,18283880000
2018-01-15,2798.96,2810.33,2768.64,2810.30,2810.30,15424920000
2018-01-08,2742.67,2787.85,2736.06,2786.24,2786.24,17487770000
2018-01-01,2683.73,2743.45,2682.36,2743.15,2743.15,13837790000
2017-12-25,2679.09,2692.12,2673.61,2673.61,2673.61,8767680000
2017-12-18,2685.92,2694.97,2676.11,2683.34,2683.34,16007500000
2017-12-11,2652.19,2679.63,2651.47,2675.81,2675.81,19343950000
2017-12-04,2657.19,2665.19,2624.75,2651.50,2651.50,17189740000
2017-11-27,2602.66,2657.74,2598.87,2642.22,2642.22,19454370000
2017-11-20,2579.49,2604.21,2578.24,2602.42,2602.42,10448990000
2017-11-13,2576.53,2590.09,2557.45,2578.85,2578.85,17216450000
2017-11-06,2587.47,2597.02,2566.33,2582.30,2582.30,18566610000
2017-10-30,2577.75,2588.42,2566.17,2587.84,2587.84,18915260000
2017-10-23,2578.08,2582.98,2544.00,2581.07,2581.07,18269710000
2017-10-16,2555.57,2575.44,2547.92,2575.21,2575.21,15178860000
